Ingredient,DF,Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Key,Patent_No,Patent_Expire_Date_Text,Patent_Drug_Substance_Flag,Patent_Drug_Product_Flag,Patent_Use_Code,Patent_Delist_Flag,Patent_Submission_Date,Exclusivity_Code,Exclusivity_Date
CLINDAMYCIN PHOSPHATE,"AEROSOL, FOAM",TOPICAL,EVOCLIN,MYLAN PHARMS INC,1%,N,50801,1,AT,10/22/2004,Yes,Yes,RX,MYLAN PHARMACEUTICALS INC,50801-1,7374747,8/9/2026,Y,Y,U-921,,,,
KETOCONAZOLE,"AEROSOL, FOAM",TOPICAL,EXTINA,MYLAN PHARMS INC,2%,N,21738,1,AT,6/12/2007,Yes,Yes,RX,MYLAN PHARMACEUTICALS INC,21738-1,7553835,10/19/2018,,Y,U-245,,,,
BETAMETHASONE VALERATE,"AEROSOL, FOAM",TOPICAL,LUXIQ,MYLAN PHARMS INC,0.12%,N,20934,1,AB,2/28/1999,Yes,Yes,RX,MYLAN PHARMACEUTICALS INC,20934-1,,,,,,,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,OLUX,MYLAN PHARMS INC,0.05%,N,21142,1,AB1,5/26/2000,Yes,Yes,RX,MYLAN PHARMACEUTICALS INC,21142-1,,,,,,,,,
CLOBETASOL PROPIONATE,"AEROSOL, FOAM",TOPICAL,OLUX E,MYLAN PHARMS INC,0.05%,N,22013,1,AB2,1/12/2007,Yes,Yes,RX,MYLAN PHARMACEUTICALS INC,22013-1,8460641,11/5/2028,,Y,U-1410,,7/2/2013,,
FLUNISOLIDE,"AEROSOL, METERED",INHALATION,AEROSPAN HFA,MYLAN SPECIALITY LP,0.078MG/INH,N,21247,1,,1/27/2006,Yes,Yes,RX,MYLAN SPECIALTY LP,21247-1,,,,,,,,,
HYDROCORTISONE ACETATE,"AEROSOL, METERED",RECTAL,CORTIFOAM,MYLAN SPECIALITY LP,10%,N,17351,1,,2/10/1982,Yes,Yes,RX,MYLAN SPECIALTY LP,17351-1,,,,,,,,,
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,"AEROSOL, METERED",TOPICAL,EPIFOAM,MYLAN SPECIALITY LP,1%;1%,A,86457,1,BX,,No,No,RX,MYLAN SPECIALTY LP,86457-1,,,,,,,,,
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,"AEROSOL, METERED",TOPICAL,PROCTOFOAM HC,MYLAN SPECIALITY LP,1%;1%,A,86195,1,BX,,No,No,RX,MYLAN SPECIALTY LP,86195-1,,,,,,,,,
DIDANOSINE,"CAPSULE, DELAYED REL PELLETS",ORAL,DIDANOSINE,MYLAN PHARMS INC,125MG,A,90788,1,,4/8/2010,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90788-1,,,,,,,,,
DIDANOSINE,"CAPSULE, DELAYED REL PELLETS",ORAL,DIDANOSINE,MYLAN PHARMS INC,200MG,A,90788,2,,4/8/2010,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90788-2,,,,,,,,,
DIDANOSINE,"CAPSULE, DELAYED REL PELLETS",ORAL,DIDANOSINE,MYLAN PHARMS INC,250MG,A,90788,3,,4/8/2010,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90788-3,,,,,,,,,
DIDANOSINE,"CAPSULE, DELAYED REL PELLETS",ORAL,DIDANOSINE,MYLAN PHARMS INC,400MG,A,90788,4,,4/8/2010,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90788-4,,,,,,,,,
DIVALPROEX SODIUM,"CAPSULE, DELAYED REL PELLETS",ORAL,DIVALPROEX SODIUM,MYLAN,EQ 125MG VALPROIC ACID,A,90407,1,AB,3/28/2011,No,No,RX,MYLAN PHARMACEUTICALS INC,90407-1,,,,,,,,,
ESOMEPRAZOLE MAGNESIUM,"CAPSULE, DELAYED REL PELLETS",ORAL,ESOMEPRAZOLE MAGNESIUM,MYLAN PHARMS INC,EQ 20MG BASE,A,78936,1,AB,8/2/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,78936-1,,,,,,,,,
ESOMEPRAZOLE MAGNESIUM,"CAPSULE, DELAYED REL PELLETS",ORAL,ESOMEPRAZOLE MAGNESIUM,MYLAN PHARMS INC,EQ 40MG BASE,A,78936,2,AB,8/3/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,78936-2,,,,,,,,,
LANSOPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,LANSOPRAZOLE,MYLAN PHARMS INC,15MG,A,90763,1,AB,11/10/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,90763-1,,,,,,,,,
LANSOPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,LANSOPRAZOLE,MYLAN PHARMS INC,15MG,A,203187,1,,6/1/2016,No,No,OTC,MYLAN PHARMACEUTICALS INC,203187-1,,,,,,,,,
LANSOPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,LANSOPRAZOLE,MYLAN PHARMS INC,30MG,A,90763,2,AB,11/10/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,90763-2,,,,,,,,,
OMEPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,OMEPRAZOLE,MYLAN,10MG,A,75876,1,AB,5/29/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,75876-1,,,,,,,,,
OMEPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,OMEPRAZOLE,MYLAN,20MG,A,75876,2,AB,5/29/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,75876-2,,,,,,,,,
OMEPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,OMEPRAZOLE,MYLAN,40MG,A,75876,3,AB,1/21/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,75876-3,,,,,,,,,
OMEPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,OMEPRAZOLE,MYLAN PHARMS INC,10MG,A,205070,1,AB,6/29/2018,No,No,RX,MYLAN PHARMACEUTICALS INC,205070-1,,,,,,,,,
OMEPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,OMEPRAZOLE,MYLAN PHARMS INC,20MG,A,205070,2,AB,6/29/2018,No,No,RX,MYLAN PHARMACEUTICALS INC,205070-2,,,,,,,,,
OMEPRAZOLE,"CAPSULE, DELAYED REL PELLETS",ORAL,OMEPRAZOLE,MYLAN PHARMS INC,40MG,A,205070,3,AB,6/29/2018,No,No,RX,MYLAN PHARMACEUTICALS INC,205070-3,,,,,,,,,
CHOLINE FENOFIBRATE,"CAPSULE, DELAYED RELEASE",ORAL,FENOFIBRIC ACID,MYLAN PHARMS INC,EQ 45MG FENOFIBRIC ACID,A,200913,1,AB,3/25/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200913-1,,,,,,,,,
